Repositorio;Branch;Link
MeuTIM_pweb-portlet-notificacaoConsumo;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-notificacaoConsumo?_a=contents&version=GBmaster
Servicos_imdb;WEB0077;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Servicos_imdb?_a=contents&version=GBWEB0077
MeuTIM_pweb-portlet-identificadorDeChamadas;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-identificadorDeChamadas?_a=contents&version=GBmaster
TIM_Components_Parent;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_Parent?_a=contents&version=GBmaster
OAM_OAuth;development;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_OAuth?_a=contents&version=GBdevelopment
OAM_OAuth;feature-nova-tela;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_OAuth?_a=contents&version=GBfeature-nova-tela
OAM_OAuth;fqa;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_OAuth?_a=contents&version=GBfqa
OAM_OAuth;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_OAuth?_a=contents&version=GBmaster
Portal_Internet_pweb-content-portal;WEB0003;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Portal_Internet_pweb-content-portal?_a=contents&version=GBWEB0003
Portal_Internet_pweb-content-portal;WEB0184;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Portal_Internet_pweb-content-portal?_a=contents&version=GBWEB0184
Portal_Internet_pweb-content-portal;WEB0200;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Portal_Internet_pweb-content-portal?_a=contents&version=GBWEB0200
Portal_Internet_pweb-content-portal;WEB0285;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Portal_Internet_pweb-content-portal?_a=contents&version=GBWEB0285
Portal_Internet_pweb-content-portal;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Portal_Internet_pweb-content-portal?_a=contents&version=GBmaster
poc-api-microservice;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/poc-api-microservice?_a=contents&version=GBmaster
poc-api-microservice;rodolfo;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/poc-api-microservice?_a=contents&version=GBrodolfo
MeuTIM_pweb-portlet-alterarSenha;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-alterarSenha?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-teLigou;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-teLigou?_a=contents&version=GBmaster
MeuTIM_pweb-portlet-consultaHistoricoOperacoes;TIR339972;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-consultaHistoricoOperacoes?_a=contents&version=GBTIR339972
MeuTIM_pweb-portlet-consultaHistoricoOperacoes;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/MeuTIM_pweb-portlet-consultaHistoricoOperacoes?_a=contents&version=GBmaster
OAM_RetrieveSubscriptionWS;WEB0258;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_RetrieveSubscriptionWS?_a=contents&version=GBWEB0258
OAM_RetrieveSubscriptionWS;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAM_RetrieveSubscriptionWS?_a=contents&version=GBmaster
Toolbox;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Toolbox?_a=contents&version=GBmaster
TIM_Components_user;WEB0146;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/TIM_Components_user?_a=contents&version=GBWEB0146
